ID,Longtitude,Latitude
172872005,-80.7424400,35.3081420
172872008,-80.7424920,35.3081280
172872011,-80.7425470,35.3081300
172872014,-80.7426520,35.3081550
172872016,-80.7428500,35.3082510
172872018,-80.7430460,35.3083710
172872020,-80.7431270,35.3084050
172872022,-80.7431710,35.3084170
172872025,-80.7432160,35.3084240
172872028,-80.7437410,35.3084090
172872030,-80.7438277,35.3084218
172872033,-80.7439380,35.3084510
172872036,-80.7441673,35.3085818
172872039,-80.7444100,35.3086790
172872185,-80.7454740,35.3087770
172872188,-80.7454380,35.3087540
172872191,-80.7453580,35.3087190
172872193,-80.7452700,35.3087000
172872197,-80.7451820,35.3086980
172872200,-80.7450630,35.3087100
172872203,-80.7448700,35.3087520
172872206,-80.7448120,35.3087590
172872209,-80.7446970,35.3087590
172872212,-80.7446400,35.3087520
482708457,-80.7430697,35.3125602
482708458,-80.7429947,35.3126297
482708495,-80.7380053,35.3105479
482708496,-80.7375783,35.3105324
482708497,-80.7371586,35.3104672
482708500,-80.7420245,35.3120836
482708503,-80.7425525,35.3121541
482708505,-80.7423242,35.3118017
482708506,-80.7411574,35.3128789
482708507,-80.7418793,35.3118909
482708508,-80.7421193,35.3117552
482708509,-80.7422633,35.3117682
482708511,-80.7430918,35.3110384
482708522,-80.7399373,35.3074963
482708523,-80.7401187,35.3076199
482708524,-80.7403432,35.3078264
482708525,-80.7405100,35.3081326
482708526,-80.7405394,35.3084593
482708527,-80.7405315,35.3086764
482708528,-80.7404536,35.3123886
482708529,-80.7403506,35.3122765
482708530,-80.7402476,35.3121084
482708531,-80.7402024,35.3119758
482708532,-80.7405137,35.3118353
482708533,-80.7408484,35.3115481
482708534,-80.7415780,35.3108267
482708535,-80.7416981,35.3106656
482708536,-80.7418011,35.3104345
482708538,-80.7418526,35.3101963
482708540,-80.7418183,35.3099792
482708542,-80.7417582,35.3098041
482708544,-80.7416295,35.3096150
482708546,-80.7413939,35.3093926
482708547,-80.7410630,35.3091877
482708549,-80.7408232,35.3090579
482708552,-80.7401532,35.3090547
482708555,-80.7397927,35.3091877
482708557,-80.7395170,35.3095005
482708559,-80.7397541,35.3094610
482708561,-80.7392231,35.3097004
482708566,-80.7406682,35.3089216
505279988,-80.7378040,35.3082670
505279991,-80.7377570,35.3084210
505279994,-80.7376640,35.3086630
505279997,-80.7375300,35.3091030
505279999,-80.7374900,35.3091900
505280002,-80.7374360,35.3093880
505280004,-80.7373960,35.3094760
505280007,-80.7373690,35.3095860
505280009,-80.7373290,35.3096740
505280012,-80.7371950,35.3101140
505280020,-80.7371550,35.3102020
505280022,-80.7371150,35.3103560
505280025,-80.7370750,35.3104440
505280028,-80.7370210,35.3106200
505280031,-80.7370080,35.3107080
505280033,-80.7369680,35.3107960
505280035,-80.7369680,35.3108180
505280037,-80.7369410,35.3108620
505280039,-80.7369410,35.3108840
505280040,-80.7368740,35.3110160
505280042,-80.7368470,35.3111090
505280044,-80.7368270,35.3111260
505280047,-80.7367940,35.3112350
505280050,-80.7367870,35.3113890
505280053,-80.7367940,35.3114720
505280059,-80.7368070,35.3115650
505280062,-80.7368140,35.3115820
505280065,-80.7368340,35.3117410
505280068,-80.7368410,35.3117580
505280071,-80.7368410,35.3119170
505280073,-80.7368540,35.3119560
505634721,-80.7381120,35.3072940
505634727,-80.7380850,35.3073540
505634735,-80.7379780,35.3076840
505634742,-80.7379380,35.3078820
505634748,-80.7378980,35.3079810
505672162,-80.7451660,35.3082250
505688997,-80.7441950,35.3080880
505689003,-80.7440340,35.3080770
505689008,-80.7438190,35.3080440
505689013,-80.7437390,35.3080440
505689017,-80.7437120,35.3080330
505689022,-80.7435780,35.3080220
505689027,-80.7433900,35.3079680
505689032,-80.7432820,35.3079240
505689037,-80.7432090,35.3078910
505689043,-80.7431080,35.3078250
505689050,-80.7429340,35.3077590
505689057,-80.7428000,35.3077370
505689065,-80.7425850,35.3077040
505689071,-80.7423970,35.3077480
505689077,-80.7421290,35.3078250
505689083,-80.7420550,35.3078690
505689088,-80.7419410,35.3079790
505689095,-80.7418610,35.3080180
505689101,-80.7418070,35.3080290
505689106,-80.7417000,35.3080180
505689112,-80.7416460,35.3079960
505689118,-80.7414320,35.3079520
505689124,-80.7413510,35.3079520
505689130,-80.7412980,35.3079410
505689137,-80.7411370,35.3079410
505689144,-80.7411170,35.3079360
505689147,-80.7409090,35.3079300
505689152,-80.7407410,35.3078810
505689157,-80.7406670,35.3078370
505689162,-80.7405930,35.3077710
505689168,-80.7405600,35.3077320
505689175,-80.7404120,35.3076280
505689181,-80.7403390,35.3075460
505689189,-80.7402510,35.3074520
505689196,-80.7401370,35.3073700
505689202,-80.7400840,35.3073480
505689210,-80.7399760,35.3073260
505689216,-80.7397890,35.3073370
505689222,-80.7397620,35.3073480
505689227,-80.7394940,35.3073920
505689234,-80.7394400,35.3073920
505689242,-80.7393060,35.3074250
505689249,-80.7387160,35.3076010
505689255,-80.7385680,35.3076510
505689264,-80.7384340,35.3077170
505689270,-80.7380860,35.3079040
505689952,-80.7368880,35.3123900
505689959,-80.7368680,35.3124500
505689967,-80.7368410,35.3128020
505935198,-80.7441946,35.3080882
505935199,-80.7442482,35.3080442
505935200,-80.7442748,35.3077803
505935202,-80.7444624,35.3076373
505935203,-80.7446770,35.3075767
505935204,-80.7447239,35.3076152
505935205,-80.7447642,35.3076702
505935206,-80.7448246,35.3078020
505935208,-80.7448851,35.3078625
505935209,-80.7449991,35.3079064
505935210,-80.7451332,35.3079284
505935211,-80.7452137,35.3079558
505935213,-80.7452875,35.3079887
505935214,-80.7453210,35.3080272
505935215,-80.7453211,35.3080821
505935216,-80.7453077,35.3081041
505935217,-80.7451659,35.3082246
505935218,-80.7451134,35.3082692
505935219,-80.7450731,35.3083351
505935220,-80.7450397,35.3084890
505935221,-80.7449794,35.3085715
505935223,-80.7448990,35.3086210
505935224,-80.7448252,35.3086320
505935225,-80.7445838,35.3086267
505935226,-80.7444765,35.3086048
505935227,-80.7444228,35.3086048
505935229,-80.7442619,35.3085719
505935230,-80.7442083,35.3085444
505935231,-80.7441881,35.3085224
505935232,-80.7441881,35.3084840
505935234,-80.7442081,35.3082861
505935235,-80.7442215,35.3082420
505935236,-80.7442214,35.3081761
505935237,-80.7442348,35.3081322
653810618,-80.7409142,35.3114830
653810622,-80.7413538,35.3110484
653810625,-80.7414077,35.3109950
653810629,-80.7413152,35.3093359
653810709,-80.7406714,35.3117000
729709362,-80.7415203,35.3112238
729709363,-80.7420067,35.3107521
729709365,-80.7421597,35.3108589
729709366,-80.7418948,35.3111632
729709367,-80.7420110,35.3112439
729709368,-80.7423297,35.3109794
729709369,-80.7424874,35.3110882
729709370,-80.7419963,35.3115601
729709447,-80.7407301,35.3120222
729709448,-80.7408279,35.3120900
729709530,-80.7411571,35.3123212
729709531,-80.7416482,35.3118487
729709532,-80.7412300,35.3115562
729709549,-80.7410431,35.3117270
729709553,-80.7410034,35.3117057
729709554,-80.7408834,35.3118251
729709555,-80.7409203,35.3118504
729710897,-80.7408029,35.3126319
729711131,-80.7407600,35.3116344
729711280,-80.7410769,35.3113221
729711289,-80.7420444,35.3117265
729711324,-80.7412658,35.3111354
729711933,-80.7409553,35.3127422
729712240,-80.7412753,35.3124301
729713681,-80.7417753,35.3118127
